Date;Tweet_ID;Raw Text;Likes;Retweets;is_fire;is_wildland;is_urban;Light Cleaned Text;Advanced Cleaned Text;Hard Cleaned Text
Wed Jul 03 22:56:26 +0000 2024;1,81E+18;;0;0;0;;;και πως άρχισε η φωτιά?;και πως αρχισε η φωτια?;αρχιζω φωτια
Wed Jul 03 22:56:09 +0000 2024;1,81E+18;;0;0;0;;;Γι αυτό τα καθαρίζει κάποιος όταν μπορεί να βάλει φωτιά και τα καίει οπότε μετά είναι λίγα που πρέπει να πεταχτούν και εννοείται ότι ο καθαρισμός έπρεπε να γίνεται και όχι να τον κάνουμε σήμερα για να γλιτώσουμε το πρόστιμο;γι αυτο τα καθαριζει καποιος οταν μπορει να βαλει φωτια και τα καιει οποτε μετα ειναι λιγα που πρεπει να πεταχτουν και εννοειται οτι ο καθαρισμος επρεπε να γινεται και οχι να τον κανουμε σημερα για να γλιτωσουμε το προστιμο;καθαριζω βαζω φωτια καιω λιγος πεταχτουν εννοειται καθαρισμος πρεπει γινομαι κανω σημερα γλιτωσουμε προστιμο
Wed Jul 03 22:55:09 +0000 2024;1,81E+18;;1;1;0;;;"#Φωτιά #ΓλυκαΝερα #ΑγίαΠαρασκευή Κάθομαι ήρεμος κ πίνω τον καφέ στο μπαλκόνι Περνάει ένα τέρας drone, Πέφτει κ μένει μισό, Ξεσπά φωτιά Την σβήνει η ΠΣ. Έχουν δίκιο που μου λένε, ότι ""δεν πάω με το ρεύμα της ανάπτυξης κ των επενδύσεων"". (Το #drone,έπεσε σε ρέμα...) RT";"#φωτια #γλυκανερα #αγιαπαρασκευη καθομαι ηρεμος κ πινω τον καφε στο μπαλκονι περναει ενα τερας drone, πεφτει κ μενει μισο, ξεσπα φωτια την σβηνει η πς. εχουν δικιο που μου λενε, οτι ""δεν παω με το ρευμα της αναπτυξης κ των επενδυσεων"". (το #drone,επεσε σε ρεμα...) rt";φωτια γλυκα νερα αγια παρασκευη καθομαι ηρεμος κ πινω καφες μπαλκονι περναει τερας drone πεφτει κ μενω μισος ξεσπα φωτια σβηνω πς δικιο λενε παω ρευμα αναπτυξη κ επενδυσεων drone επεσε ρεμα rt
Wed Jul 03 22:52:38 +0000 2024;1,81E+18;;2;0;0;;;"Το παράθυρο στο πράσινο δωμάτιο είναι στον 2ο όροφο... Αυτό σημαίνει 3m ύψος το ισόγειο + 3m ύψος ο 1ος +1m από εκεί που ξεκινά το παράθυρο = 7m ύψος... Ποιος κ πώς θα σκαρφαλωνε μέχρι εκεί; Μόνον η πυροσβεστική ίσως μπορούσε...";"το παραθυρο στο πρασινο δωματιο ειναι στον 2ο οροφο... αυτο σημαινει 3m υψος το ισογειο + 3m υψος ο 1ος +1m απο εκει που ξεκινα το παραθυρο = 7m υψος... ποιος κ πως θα σκαρφαλωνε μεχρι εκει; μονον η πυροσβεστικη ισως μπορουσε...";παραθυρο πρασινος δωματιο ος οροφος σημαινω m υψος ισογειος m υψος ος m ξεκινα παραθυρο m υψος ποιος κ σκαρφαλωνε μονον πυροσβεστικος μπορω
Wed Jul 03 22:48:52 +0000 2024;1,81E+18;;0;0;0;;;Σε λίγο θα πάρουν φωτιά και τα μυαλά μας;σε λιγο θα παρουν φωτια και τα μυαλα μας;παρουν φωτια μυαλα
Wed Jul 03 22:47:42 +0000 2024;1,81E+18;;0;0;0;;;Στην συγκεκριμένη φωτογραφία έχουν μπει τουλάχιστον 8 χρόνια πριν την φωτιά.;στην συγκεκριμενη φωτογραφια εχουν μπει τουλαχιστον 8 χρονια πριν την φωτια.;συγκεκριμενος φωτογραφια μπαινω χρονος φωτια
Wed Jul 03 22:42:53 +0000 2024;1,81E+18;;0;0;1;0;0;Υπό έλεγχο η φωτιά στα Γλυκά Νερά: Εξετάζεται αν προκλήθηκε από πτώση drone - Τέσσερις προσαγωγές | Flash;υπο ελεγχο η φωτια στα γλυκα νερα: εξεταζεται αν προκληθηκε απο πτωση drone - τεσσερις προσαγωγες | flash;ελεγχος φωτια γλυκα νερο εξεταζεται προκλω πτωση drone τεσσερις προσαγωγη flash
Wed Jul 03 22:37:49 +0000 2024;1,81E+18;;5;2;0;;;Τοποθέτηση φωτιά από τον Ανδρέα Καργοπουλο (ΑΣΕ) στο 21ο συνέδριο ΟΛΜΕ. Εφ'ολης της ύλης...;τοποθετηση φωτια απο τον ανδρεα καργοπουλο (ασε) στο 21ο συνεδριο ολμε. εφ'ολης της υλης...;τοποθετηση φωτια ανδρεας καργοπουλο ασε ος συνεδριο ολμε εφ ολη υλη
Wed Jul 03 22:34:21 +0000 2024;1,81E+18;;0;0;0;;;ουτε καν απλη φωτιά ε;ουτε καν απλη φωτια ε;ουτε καν απλη φωτια ε
Wed Jul 03 22:26:34 +0000 2024;1,81E+18;;0;0;1;0;0;Ομαλοποιούνται τα δρομολόγια του Προαστιακού που είχαν διακοπεί από φωτιά στον Ασπρόπυργο;ομαλοποιουνται τα δρομολογια του προαστιακου που ειχαν διακοπει απο φωτια στον ασπροπυργο;ομαλοποιω δρομολογιο προαστιακου διακοπει φωτια ασπροπυργο
Wed Jul 03 22:17:15 +0000 2024;1,81E+18;;3;0;0;;;Τη Παρασκευή έχει διπλό επεισόδιο και σταματάει για καλοκαίρι. Εκτός απροόπτου θα συνεχιστεί από Σεπτέμβρη. Εύχομαι να μη το κόψουν νύχτα σα το Μετά τη φωτιά;τη παρασκευη εχει διπλο επεισοδιο και σταματαει για καλοκαιρι. εκτος απροοπτου θα συνεχιστει απο σεπτεμβρη. ευχομαι να μη το κοψουν νυχτα σα το μετα τη φωτια;παρασκευη διπλος επεισοδιο σταματω καλοκαιρι απροοπτος συνεχιζω σεπτεμβρης ευχομαι κοψουν νυχτα σα φωτια
Wed Jul 03 22:11:33 +0000 2024;1,81E+18;;0;0;1;0;0;Φωτιά από κεραυνό στο χωριό Φύλλα της Χαλκίδας;φωτια απο κεραυνο στο χωριο φυλλα της χαλκιδας;φωτια κεραυνο χωριο φυλλα χαλκιδα
Wed Jul 03 22:02:21 +0000 2024;1,81E+18;;2;0;0;;;"Αφού προκάλεσε την πυρκαγιά θα έπρεπε να έχει ένα καμμένο κομμάτι;";"αφου προκαλεσε την πυρκαγια θα επρεπε να εχει ενα καμμενο κομματι;";προκαλω πυρκαγια πρεπει καμμενος κομματι
Wed Jul 03 21:48:53 +0000 2024;1,81E+18;;0;0;0;;;Μην βάζεις το χέρι σου στη φωτιά για το ποιος χώρος έχει πραγματικά σχέσεις με την τρομοκρατία...για άκου λίγο τον απόστρατο αξιωματικό της αστυνομίας...;μην βαζεις το χερι σου στη φωτια για το ποιος χωρος εχει πραγματικα σχεσεις με την τρομοκρατια...για ακου λιγο τον αποστρατο αξιωματικο της αστυνομιας...;βαζεις χερι φωτια ποιος χωρος πραγματικα σχεση τρομοκρατια ακου αποστρατος αξιωματικος αστυνομια
Wed Jul 03 21:48:12 +0000 2024;1,81E+18;;51;4;0;;;Μας ζαλίσατε τα παπαρια η φωτιά δεν πήρε από το drone …... το drone έκανε εθελοντικά περιπολία στην περιοχή για πυρκαγιές όπως πολλά αλλά από διάφορες εταιρείες που τις έχει χεσμενες το κράτος και προσπαθούν να προωθήσουν τα προϊόντα τους ….;μας ζαλισατε τα παπαρια η φωτια δεν πηρε απο το drone …... το drone εκανε εθελοντικα περιπολια στην περιοχη για πυρκαγιες οπως πολλα αλλα απο διαφορες εταιρειες που τις εχει χεσμενες το κρατος και προσπαθουν να προωθησουν τα προιοντα τους ….;ζαλισατε παπαρια φωτια πηρε drone drone εθελοντικα περιπολια περιοχη πυρκαγιες διαφορος εταιρεια χεσμενες κρατος προσπαθω προωθω προιον
Wed Jul 03 21:47:10 +0000 2024;1,81E+18;;4;0;0;;;προσωπική μου άποψη αλλά στο μετά τη φωτιά πέρα από την ιστορία της Ιωάννας που σαφέστατα έπρεπε να ακουστεί δεν υπήρχε τίποτα ιδιαίτερο σαν σενάριο (δε δικαιολογώ το κανάλι σαφώς);προσωπικη μου αποψη αλλα στο μετα τη φωτια περα απο την ιστορια της ιωαννας που σαφεστατα επρεπε να ακουστει δεν υπηρχε τιποτα ιδιαιτερο σαν σεναριο (δε δικαιολογω το καναλι σαφως);προσωπικος αποψη φωτια ιστορια ιωαννας σαφεστατα πρεπει ακουστει υπαρχω ιδιαιτερο σεναριο δικαιολογω καναλι σαφως
Wed Jul 03 21:45:57 +0000 2024;1,81E+18;;4;0;0;;;"Ναι,οπωσδήποτε! Είδαμε και το ""Μετά την φωτιά""!";"ναι,οπωσδηποτε! ειδαμε και το ""μετα την φωτια""!";οπωσδηποτε ειδαμε φωτια
Wed Jul 03 21:43:48 +0000 2024;1,81E+18;;0;0;0;;;"Τάχατε κι όποιος δε μεθά κι όποιος δεν τραγουδήσει κι όποιος στ’ αγκάθια περπατά μια μέρα δε θ’ αφήσει τ’ αγαπημένο μας νησί που έτσι γερά πατούμε. Βάλτε να πιούμε… Πες μας που πάει ο άνθρωπος τον κόσμο σαν αφήνει; Πες μας που πάει ο άνεμος, που πάει η φωτιά σαν σβήνει;";"ταχατε κι οποιος δε μεθα κι οποιος δεν τραγουδησει κι οποιος στ’ αγκαθια περπατα μια μερα δε θ’ αφησει τ’ αγαπημενο μας νησι που ετσι γερα πατουμε. βαλτε να πιουμε… πες μας που παει ο ανθρωπος τον κοσμο σαν αφηνει; πες μας που παει ο ανεμος, που παει η φωτια σαν σβηνει;";και μεθα και τραγουδω και στ αγκαθιο περπατα μερα θ αφηνω τ αγαπημενο νησι γερος πατω βαλτε πιουμε πες παει ανθρωπος κοσμος αφηνω πες παει ανεμος παει φωτια σβηνω
Wed Jul 03 21:39:10 +0000 2024;1,81E+18;;0;0;0;;;Μια σύλληψη για την πυρκαγιά σε δασική έκταση στα Γλυκά Νερά – Eπιβλήθηκε πρόστιμο 4.675 ευρώ;μια συλληψη για την πυρκαγια σε δασικη εκταση στα γλυκα νερα – eπιβληθηκε προστιμο 4.675 ευρω;συλληψη πυρκαγια δασικος εκταση γλυκα νερα eπιβληθηκε προστιμο ευρω
Wed Jul 03 21:33:19 +0000 2024;1,81E+18;;12;3;1;0;0;Γλυκά Νερά: Βίντεο ντοκουμέντο από τη στιγμή που ξεσπάει η φωτιά;γλυκα νερα: βιντεο ντοκουμεντο απο τη στιγμη που ξεσπαει η φωτια;γλυκα νερα βιντεο ντοκουμεντο στιγμη ξεσπαω φωτια
Wed Jul 03 21:29:51 +0000 2024;1,81E+18;;0;0;1;0;0;Υπό μερικό έλεγχο τέθηκε η πυρκαγιά στο Μελίσσι;υπο μερικο ελεγχο τεθηκε η πυρκαγια στο μελισσι;μερικος ελεγχος τεθηκε πυρκαγια μελισσι
Wed Jul 03 21:27:24 +0000 2024;1,81E+18;;9;1;0;;;Αυτός καίγεται να μεταφέρει το δάνειο του σε ελληνική τράπεζα μάλλον;αυτος καιγεται να μεταφερει το δανειο του σε ελληνικη τραπεζα μαλλον;καιγω μεταφερω δανειο ελληνικος τραπεζα
Wed Jul 03 21:27:14 +0000 2024;1,81E+18;;1;1;0;;;#Φωτιά 1)#ΑγίαΠαρασκευή #ΓλυκαΝερα Πέφτει ένα drone,βγαίνουν 4ατ από ένα μαύρο βαν,τους πιάνει η #ΕΛΑΣ 2)#Σταμάτα Πιάνεται άτομο,με ρούχα #ΠΣ κ γκαζακια μαζί του 3-4)#Κερατέα,#Πάρνηθα Πυλώνες άρχισαν τις φωτιές(?)... Η ΕΥΠ, βλέπει το θέμα ? RT;#φωτια 1)#αγιαπαρασκευη #γλυκανερα πεφτει ενα drone,βγαινουν 4ατ απο ενα μαυρο βαν,τους πιανει η #ελας 2)#σταματα πιανεται ατομο,με ρουχα #πς κ γκαζακια μαζι του 3-4)#κερατεα,#παρνηθα πυλωνες αρχισαν τις φωτιες(?)... η ευπ, βλεπει το θεμα ? rt;φωτια αγια παρασκευη γλυκα νερα πεφτει drone βγαινω ατ μαυρος βαν πιανω ελας σταματα πιανεται ατομο ρουχ πς κ γκαζακι κερατεα παρνηθα πυλωνες αρχιζω φωτια ευπ βλεπω θεμα rt
Wed Jul 03 21:26:31 +0000 2024;1,81E+18;;1;0;0;;;η κλιματική αλλαγή βάζει φωτιά με drones?;η κλιματικη αλλαγη βαζει φωτια με drones?;κλιματικος αλλαγη βαζω φωτια drones
Wed Jul 03 21:20:16 +0000 2024;1,81E+18;;0;0;1;0;0;Σέρρες: Φωτιά στα Άνω Πορόια Σερρών (Φωτό – βίντεο) -;σερρες: φωτια στα ανω ποροια σερρων (φωτο – βιντεο) -;σερρες φωτια ποροια σερρων φωτο βιντεο
Wed Jul 03 21:17:40 +0000 2024;1,81E+18;;1;0;0;;;Φαίνεται ότι απουσιάζουν οι lipo μπαταρίες κ επειδή αυτό ήταν το πειραματικό μοντέλο φορούσε λογικά καθαρά μη εγκεκριμένες κ τυποποιημένες. Αν ήταν έμφορτο με πυραυλο για τεστ μπορεί ή να έγινε αστοχία στη ρίψη (φωτιά από βολή) κ πτώση με την πτώση του να έσκασε μπαταρία;φαινεται οτι απουσιαζουν οι lipo μπαταριες κ επειδη αυτο ηταν το πειραματικο μοντελο φορουσε λογικα καθαρα μη εγκεκριμενες κ τυποποιημενες. αν ηταν εμφορτο με πυραυλο για τεστ μπορει η να εγινε αστοχια στη ριψη (φωτια απο βολη) κ πτωση με την πτωση του να εσκασε μπαταρια;φαινομαι απουσιαζω lipo μπαταρια κ πειραματικος μοντελο φορω λογικα καθαρα εγκεκριμενες κ τυποποιημενες εμφορτο πυραυλος τεστ η αστοχια ριψη φωτια βολη κ πτωση πτωση εσκασε μπαταρια
Wed Jul 03 21:17:04 +0000 2024;1,81E+18;;0;0;0;;;#φωτιά #Ύδρα #πόρισμα Φωτιά στην Ύδρα: Το πόρισμα του τεχνικού συμβούλου;#φωτια #υδρα #πορισμα φωτια στην υδρα: το πορισμα του τεχνικου συμβουλου;φωτια υδρα πορισμα φωτια υδρα πορισμα τεχνικος συμβουλου
Wed Jul 03 21:16:02 +0000 2024;1,81E+18;;1;0;1;0;0;#Φωτιά στον #Ασπρόπυργο και #διακοπή #δρομολογίων του #προαστιακού...;#φωτια στον #ασπροπυργο και #διακοπη #δρομολογιων του #προαστιακου...;φωτια ασπροπυργο διακοπη δρομολογιων προαστιακος
Wed Jul 03 21:14:33 +0000 2024;1,81E+18;;0;0;1;0;0;Φωτιά στην Νέα Ζωή Ασπροπύργου;φωτια στην νεα ζωη ασπροπυργου;φωτια νεος ζωη ασπροπυργου
Wed Jul 03 21:12:20 +0000 2024;1,81E+18;;0;0;1;0;0;Πυρκαγιά ξέσπασε κοντά στα Άνω Πορόια Σερρών #Φωτια_τωρα #φωτιά #Πυρκαγιά #πυροσβέστες #Άνω_Πορόια_Σερρών;πυρκαγια ξεσπασε κοντα στα ανω ποροια σερρων #φωτια_τωρα #φωτια #πυρκαγια #πυροσβεστες #ανω_ποροια_σερρων;πυρκαγια ξεσπασε ποροια σερρων φωτια τωρα φωτια πυρκαγια πυροσβεστης ανω ποροια σερρων
Wed Jul 03 21:07:55 +0000 2024;1,81E+18;;7;0;0;;;Προσπαθεί η Καραβάτου να δείξει ενδιαφέρον για να δικαιολογήσει το μισθό της, αλλά κατά βάση δεν της καίγεται καρφί για τις κοπέλες και την κόντρα τους #poweroflovegr;προσπαθει η καραβατου να δειξει ενδιαφερον για να δικαιολογησει το μισθο της, αλλα κατα βαση δεν της καιγεται καρφι για τις κοπελες και την κοντρα τους #poweroflovegr;προσπαθω καραβατου δειξει ενδιαφερον δικαιολογηζω μισθος βαση καιω καρφι κοπελα κοντρα poweroflovegr
Wed Jul 03 21:07:21 +0000 2024;1,81E+18;;10;1;0;;;Αχ νίκη μην τα χαλας τώρα. Γίνε δίδυμο φωτιά με σωτηρία κ άσε τη Γλυκερία για ποτε θα την αφήσει ο τζεισον... #poweroflovegr;αχ νικη μην τα χαλας τωρα. γινε διδυμο φωτια με σωτηρια κ ασε τη γλυκερια για ποτε θα την αφησει ο τζεισον... #poweroflovegr;αχ νικη χαλας γινε διδυμο φωτια σωτηρια κ ασε γλυκερια ποτε αφηνω τζεισον poweroflovegr
Wed Jul 03 21:06:29 +0000 2024;1,81E+18;;0;0;1;0;0;Φωτιά στη Νεά Ζωή Ασπροπύργου – Προβλήματα στον προαστιακό;φωτια στη νεα ζωη ασπροπυργου – προβληματα στον προαστιακο;φωτια νεα ζωη ασπροπυργου προβληματα προαστιακος
Wed Jul 03 21:04:35 +0000 2024;1,81E+18;;1;0;0;;;Φωτιά στην Ύδρα: Το πόρισμα του τεχνικού συμβούλου – Υπήρχαν και άλλα σκάφη στο σημείο;φωτια στην υδρα: το πορισμα του τεχνικου συμβουλου – υπηρχαν και αλλα σκαφη στο σημειο;φωτια υδρα πορισμα τεχνικος συμβουλου υπηρχαν σκαφος σημειο
Wed Jul 03 21:04:12 +0000 2024;1,81E+18;;3;2;1;0;0;Πτώση του drone της SAS και πυρκαγιά στα Γλυκά Νερά: Fake τα σήματα της ΠΑ – Πετούσε χωρίς άδεια από την ΥΠΑ Διέσπειραν κακή φήμη για την Πολεμική Αεροπορία παγκοσμίως;πτωση του drone της sas και πυρκαγια στα γλυκα νερα: fake τα σηματα της πα – πετουσε χωρις αδεια απο την υπα διεσπειραν κακη φημη για την πολεμικη αεροπορια παγκοσμιως;πτωση drone sas πυρκαγια γλυκα νερα fake σημα πα πετω αδεια υπα διεσπειραν κακος φημη πολεμικος αεροπορια παγκοσμιως
Wed Jul 03 21:04:12 +0000 2024;1,81E+18;;0;1;0;;;Το «πάρτι» με τις μίζες στο πρόγραμμα ΑΙΓΙΣ: Ακατάλληλα πυροσβεστικά αεροσκάφη και ελικόπτερα «καίνε» την χώρα Μπλόκο στα CL-515 Εγκληματικές αποφάσεις που οδηγούν σε πλήρη αδυναμία κατάσβεσης των πυρκαγιών #φωτια;το «παρτι» με τις μιζες στο προγραμμα αιγις: ακαταλληλα πυροσβεστικα αεροσκαφη και ελικοπτερα «καινε» την χωρα μπλοκο στα cl-515 εγκληματικες αποφασεις που οδηγουν σε πληρη αδυναμια κατασβεσης των πυρκαγιων #φωτια;παρτι μιζα προγραμμα αιγις ακαταλληλα πυροσβεστικος αεροσκαφος ελικοπτερο καινε χωρα μπλοκο cl εγκληματικος αποφαση οδηγω πληρης αδυναμια κατασβεση πυρκαγιων φωτια
Wed Jul 03 21:04:12 +0000 2024;1,81E+18;;0;1;1;0;0;Το πειραματικό drone SARISA SRS-1A της εταιρείας SAS «κάρφωσε» τα Γλυκά Νερά και προκάλεσε την πυρκαγιά!;το πειραματικο drone sarisa srs-1a της εταιρειας sas «καρφωσε» τα γλυκα νερα και προκαλεσε την πυρκαγια!;πειραματικος drone sarisa srs a εταιρεια sas καρφωσε γλυκα νερα προκαλω πυρκαγια
Wed Jul 03 21:02:49 +0000 2024;1,81E+18;;0;1;1;0;1;Πυρκαγιά στον Ασπρόπυργο: Διακόπηκε η λειτουργία του Προαστιακού Σιδηρόδρομου Δίπλα στις ράγες του τρένου η αρχική εστία της φωτιάς #φωτια;πυρκαγια στον ασπροπυργο: διακοπηκε η λειτουργια του προαστιακου σιδηροδρομου διπλα στις ραγες του τρενου η αρχικη εστια της φωτιας #φωτια;πυρκαγια ασπροπυργο διακοπηκε λειτουργια προαστιακου σιδηροδρομου ραγα τρενο αρχικος εστια φωτια φωτια
Wed Jul 03 21:00:41 +0000 2024;1,81E+18;;0;0;1;0;0;Φωτιά στον Ασπρόπυργο - Διακοπή δρομολογίων του προαστιακού;φωτια στον ασπροπυργο - διακοπη δρομολογιων του προαστιακου;φωτια ασπροπυργο διακοπη δρομολογιων προαστιακος
Wed Jul 03 20:59:37 +0000 2024;1,81E+18;;1;0;1;0;0;Γλυκά Νερά: Βίντεο ντοκουμέντο από τη στιγμή που ξεσπάει η φωτιά;γλυκα νερα: βιντεο ντοκουμεντο απο τη στιγμη που ξεσπαει η φωτια;γλυκα νερα βιντεο ντοκουμεντο στιγμη ξεσπαω φωτια
